user_name,twitter_id,party_name,state,office_title,account_type,first_name,middle_name,last_name,suffix,status,collecting,showing,bioguide_id,gender,fec_candidate_id,district,branch
ElectGallardo,824342299450544128,Democrat,WA,House Candidate,campaign,Stephanie,"",Gallardo,"",1,true,true,,F,H2WA09115,09,H
BradKlippert,606008191,Republican,WA,House Candidate,campaign,Brad,"",Klippert,"",1,true,true,,M,H2WA04157,04,H
Sessler,22210538,Republican,WA,House Candidate,campaign,Jerrod,"",Sessler,"",1,true,true,,M,H2WA04165,04,H
WadiforCongress,1368007604014772228,Republican,WA,House Candidate,campaign,Wadi,"",Yakhour,"",1,true,true,,"",H2WA03118,03,H
joekent16jan19,1187808818522030080,Republican,WA,House Candidate,campaign,Joe,"",Kent,"",1,true,true,,M,H2WA03100,03,H
bhennrich,178156240,Democrat,WA,House Candidate,campaign,Brent,"",Hennrich,"",1,true,true,,M,H2WA03134,03,H
PatrickLeahy,4917423588,Democrat,VT,Senate Candidate,campaign,Patrick,"",Leahy,"",1,true,true,,M,S4VT00017,00,S
AllyforCongress,1320436265154678784,Democrat,VA,House Candidate,campaign,Ally,"",Dalsimer,"",1,true,true,,F,H2VA11198,11,H
beattyforus,1111284921576972288,Republican,VA,House Candidate,campaign,John,"",Beatty,"",1,true,true,,M,H2VA10141,10,H
Heerak4Congress,1199771785148993536,Other,VA,House Candidate,campaign,Heerak,"",Kim,"",1,true,true,,"",H0VA08172,08,H
kim4va,1228499846677647360,Republican,VA,House Candidate,campaign,Kimberly,"",Lowe,"",1,true,true,,F,H2VA05075,05,H
shadiayyas,410941088,Democrat,VA,House Candidate,campaign,Shadi,"",Ayyas,"",1,true,true,,M,H2VA05067,05,H
JenKiggans,1112745685810589698,Republican,VA,House Candidate,campaign,Jen,"",Kiggans,"",1,true,true,,F,H2VA02064,02,H
andybaan,198117125,Republican,VA,House Candidate,campaign,Andy,"",Baan,"",1,true,true,,M,H0VA02167,02,H
JaromeBellVA,1204822874848186369,Republican,VA,House Candidate,campaign,Jarome,"",Bell,"",1,true,true,,M,H0VA02175,02,H
TedEngquist,32370875,Republican,VA,House Candidate,campaign,Ted,"",Engquist,"",1,true,true,,M,H2VA02056,02,H
EvanBarlowPhD,1324850245906305024,Other,UT,Senate Candidate,campaign,Evan,"",Barlow,"",1,true,true,,M,S2UT00286,00,S
AllenBGlines,1348010133045927936,Democrat,UT,Senate Candidate,campaign,Allen,"",Glines,"",1,true,true,,M,S2UT00302,00,S
AustinTSearle,1174090579589812225,Democrat,UT,Senate Candidate,campaign,Austin,"",Searle,"",1,true,true,,M,S2UT00294,00,S
DANIELLEFEWINGS,3303862675,Democrat,TX,House Candidate,campaign,Danielle,"",Fewings,"",1,true,true,,F,H2TX35110,35,H
DLAndersonJrTX,1347277691062345728,Democrat,TX,House Candidate,campaign,David,"",Anderson,"",1,true,true,,M,H2TX35102,35,H
MayraFlores2022,89469296,Republican,TX,House Candidate,campaign,Mayra,"",Flores,"",1,true,true,,F,H2TX34113,34,H
BradNamdar,360397967,Republican,TX,House Candidate,campaign,Brad,"",Namdarkhan,"",1,true,true,,M,H2TX32083,32,H
ZachmanningTX,1091761272452980736,Democrat,TX,House Candidate,campaign,Zachariah,"",Manning,"",1,true,true,,M,H2TX30129,30,H
JessicaMasonTX,1344365440139714561,Democrat,TX,House Candidate,campaign,Jessica,"",Mason,"",1,true,true,,F,H2TX30111,30,H
LaCongresista,40557819,Democrat,TX,House Candidate,campaign,Sylvia,"",Garcia,"",1,true,true,,F,H8TX29052,29,H
DrBurgessTX,1272912622942388229,Republican,TX,House Candidate,campaign,Michael,"",Burgess,"",1,true,true,,M,H2TX26093,26,H
ureste4congress,936086119577542656,Republican,TX,House Candidate,campaign,Alia,"",Ureste,"",1,true,true,,F,H8TX16125,23,H
VisionaryHoward,831210205312454656,Democrat,TX,House Candidate,campaign,Eugene,"",Howard,"",1,true,true,,M,H2TX22159,22,H
Squires2022,1342616671056519170,Democrat,TX,House Candidate,campaign,Jim,"",Squires,"",1,true,true,,M,H2TX22142,22,H
SturmNextTerm,1349498641535401986,Democrat,TX,House Candidate,campaign,Scott,"",Sturm,"",1,true,true,,M,H2TX21128,21,H
ArmendarizDis16,1225469439698702338,Republican,TX,House Candidate,campaign,Irene,"",Armendariz-Jackson,"",1,true,true,,F,H0TX16106,16,H
